"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",112,0.668468360079483,2.5689799120415,1e-10,4.688e-08,4.20842105263158e-08,2765,"tags=59%, list=19%, signal=48%","RPS23/RPL30/LOC113998898/RPS3A/MAGOH/RPL21/RPL37/PNRC2/LOC113987193/RPL23A/EXOSC10/RPL14/RPS4X/RPS5/EIF4A3/RPS6/RPL7/RPL6/RPL9/RPS8/RPL32/UPF2/RPL3/RPS21/LOC113989206/DCP1B/RPL4/RPL22/RPL18A/RPS3/LOC113998810/RPS14/RPL15/PARN/RPL19/RPL31/RPL7A/RPL27A/RPS25/RPL38/RPL35A/RPS27A/RPS7/PNLDC1/LOC113990217/RPS11/RPL27/RPL13/RPL12/UBA52/RPL17/DCP1A/RPS20/PABPC1L/RPL23/RPS12/RBM8A/RPL34/RPS13/RPS28/LOC113990916/RPS29/RPS15/RPL10A/RPL37A/CASC3"
"GO:0006412","translation",148,0.55953949520748,2.21822632679366,1e-10,4.688e-08,4.20842105263158e-08,3384,"tags=58%, list=23%, signal=45%","RPS23/RPL30/LOC113998898/RPS3A/MRPS15/RSL24D1/RPL21/RPL37/LOC113987193/RPL23A/RPL14/RPS4X/MRPS11/RPS5/RPS6/RPL7/RPL6/RPL9/RPS8/RPL32/RMND1/RPL3/RPS21/LOC113989206/RPL4/RPL22/RPL18A/RPS3/RRBP1/MRPL51/LOC113998810/RPS14/RPL15/MRPL13/MRPS16/RPL19/RPL31/RPL7A/RPL27A/MRPL10/RPS25/RPL38/RPL35A/RPS27A/RPS7/MRPL9/MRPS21/LOC113990217/RPS11/MRPS7/RPL27/RPL13/RPL12/MRPS18C/MRRF/LOC113995592/RPL17/HBS1L/RPS20/MRPL37/MRPS6/RPL23/RPS12/TNIP1/MRPS36/RPL34/RPS13/RPS28/RPS29/EIF4EBP2/RPS15/RPL10A/RPL37A/MRPL23/RPL11/MRPL28/RPS24/MRPS5/RPS19/MRPL27/PABPC4/RPL29/MRPS14/ASMT/GUF1/RPL35"
"GO:0006413","translational initiation",118,0.635572543642011,2.45387415063279,1e-10,4.688e-08,4.20842105263158e-08,2745,"tags=55%, list=19%, signal=45%","RPS23/RPL30/LOC113998898/RPS3A/RPL21/RPL37/LOC113987193/RPL23A/RPL14/RPS4X/RPS5/RPS6/RPL7/RPL6/RPL9/RPS8/EIF5B/RPL32/RPL3/RPS21/LOC113989206/RPL4/EIF3J/RPL22/RPL18A/RPS3/LOC113998810/EIF3L/RPS14/EIF2B2/DDX3X/RPL15/RPL19/RPL31/RPL7A/RPL27A/RPS25/RPL38/RPL35A/RPS27A/RPS7/LOC113990217/RPS11/RPL27/EIF4H/RPL13/RPL12/UBA52/RPL17/RPS20/EIF1/PABPC1L/EIF6/RPL23/RPS12/EIF4E3/RPL34/RPS13/RPS28/EIF3I/RPS29/EIF4E2/RPS15/RPL10A/RPL37A"
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane",81,0.722633668418475,2.63014293918635,1e-10,4.688e-08,4.20842105263158e-08,2919,"tags=70%, list=20%, signal=57%","RPS23/RPL30/LOC113998898/RPS3A/RPL21/RPL37/LOC113987193/RPL23A/RPL14/RPS4X/RPS5/RPS6/RPL7/RPL6/RPL9/RPS8/RPL32/RPL3/RPS21/LOC113989206/RPL4/RPL22/RPL18A/RPS3/SRP9/LOC113998810/RPS14/RPL15/SRP72/RPL19/RPL31/RPL7A/RPL27A/RPS25/RPL38/RPL35A/RPS27A/RPS7/LOC113990217/RPS11/RPL27/RPL13/RPL12/UBA52/RPL17/RPS20/RPL23/RPS12/RPL34/RPS13/RPS28/RPS29/RPS15/RPL10A/RPL37A/SSR3/RPL11"
"GO:0019083","viral transcription",100,0.711687819872161,2.67774277262005,1e-10,4.688e-08,4.20842105263158e-08,2745,"tags=64%, list=19%, signal=52%","RPS23/RPL30/LOC113998898/RPS3A/RPL21/RPL37/LOC113987193/RPL23A/RPL14/RPS4X/RPS5/RPS6/RPL7/RPL6/RPL9/RPS8/RPL32/NUP37/RPL3/RPS21/LOC113989206/RPL4/RPL22/RPL18A/RPS3/LOC113998810/RPS14/NUP43/RPL15/NUP85/NUP98/RPL19/RPL31/RPL7A/RPL27A/NUP153/NUP107/RPS25/RPL38/RPL35A/SEH1L/RPS27A/RPS7/LOC113990217/RPS11/RAE1/RPL27/RPL13/RPL12/UBA52/NDC1/NUP205/RPL17/NUP188/RPS20/RPL23/RPS12/RPL34/RPS13/RPS28/RPS29/RPS15/RPL10A/RPL37A"
"GO:0000398","mRNA splicing, via spliceosome",233,0.494887819994707,2.0681354887882,2.09346864601015e-10,8.17848417707967e-08,7.34183126907771e-08,3354,"tags=40%, list=23%, signal=31%","HNRNPA3/PPWD1/CPSF4/RBM41/POLR2B/POLR2C/MAGOH/IK/ALYREF/POLR2D/LOC114003209/SNRPB/RAVER2/LSM4/HNRNPD/LOC113984740/SNRPE/GTF2F2/EIF4A3/POLR2E/PRPF6/SNRNP48/CPSF3/SNW1/SLU7/SNU13/HNRNPH1/FIP1L1/GPATCH1/ZRSR2/CPSF7/RSRC1/RBM5/CWC27/PNN/LSM8/LOC113993656/SYF2/POLR2H/SF3B6/CHERP/GCFC2/PRPF3/SNRNP25/HNRNPH3/CWC15/SF3A3/MFAP1/PHF5A/DDX41/DHX8/LOC114004318/SMU1/LOC113982691/HNRNPDL/FRG1/HNRNPA2B1/ZMAT2/LSM3/DBR1/SNRNP27/PABPC1L/POLR2K/SART3/CACTIN/LOC113985989/RBM8A/RBM22/PCF11/SNRNP35/LSM6/DNAJC8/SF3A2/BUD31/ZCRB1/PPIH/RBMX2/PRPF4B/NONO/CASC3/SF3B5/BCAS2/SYNCRIP/CWC22/PRPF38A/CCAR1/DDX46/LOC113991857/SNRPF/CSTF2/SRRT/HNRNPR/BUD13"
"GO:0007186","G protein-coupled receptor signaling
pathway",444,-0.365366356938995,-1.65338401338187,2.06929719211834e-07,6.92918945475054e-05,6.22033847675873e-05,2250,"tags=23%, list=15%, signal=20%","RGS6/HTR1D/PIK3R5/LOC113988692/OXTR/RGS12/LOC113993476/GPR21/GNB1L/GPR37/RORB/LOC113991889/PTGER4/ROCK2/GPR19/PDE3A/NPY/PTGFR/CARTPT/GRP/ANXA1/GNB1/LOC114003402/SST/LOC113984725/HTR1E/ARHGEF5/LOC113983744/RGS16/GRM8/GLP1R/LOC114002719/EDNRA/GPR158/GRM7/P2RY6/ARHGEF26/LGR5/ATRNL1/RGS20/GPR78/TRH/LOC113993535/FGD3/LOC113993299/FFAR4/ADCY1/OPRK1/HRH3/LOC113985104/ADRA1B/RGS8/PNOC/PLEKHG5/LOC113989258/HTR5A/CALCRL/LOC113993433/LOC113994469/MCF2/GPR1/RAMP3/RGS1/AKAP13/OPRM1/GPR180/TIAM2/ARHGEF6/LOC113985240/AKAP12/GHSR/CNR1/NMBR/GPR17/GABBR1/GPR63/VIPR2/NPBWR1/NPY5R/MC5R/PDE8A/RGS2/GNB4/BRS3/LOC113996139/C3/LOC113987175/HEBP1/ADGRD2/ADGRB2/LOC114003560/ARHGEF7/OPN3/CXCR4/LPAR3/GPR12/PDE10A/PENK/ADGRG6/RXFP3/LOC114003556"
"GO:0070126","mitochondrial translational termination",87,0.574092064666095,2.10851952796609,3.50764332498758e-07,9.33401010739458e-05,8.37914774774644e-05,3241,"tags=53%, list=22%, signal=41%","ERAL1/MRPS15/MRPS11/MRPS35/MRPL19/MRPS23/MRPL40/MRPS24/MRPL50/MRPL38/MRPL14/MRPL51/MRPL57/MRPL44/MRPL13/MRPL12/MRPS16/MRPL10/MRPL20/MRPL45/MRPL47/MRPL9/MRPS21/MRPS22/MRPS7/MRPL1/MRPL46/MRPL21/MRPS18C/MRRF/MRPL2/MRPL37/MRPS6/MRPL22/MRPS25/MRPS30/MRPS36/MRPL58/MRPL33/MRPL23/MRPL48/MRPS31/MRPL28/MRPS5/MRPL27/MRPS14"
"GO:0007268","chemical synaptic transmission",199,-0.445901354835481,-1.86100925441326,3.58387760096208e-07,9.33401010739458e-05,8.37914774774644e-05,3282,"tags=37%, list=22%, signal=29%","SLC6A2/SYT17/LOC113996568/LOC113998098/APBA1/LOC113984000/LOC113988621/LOC113982307/DRD5/GPR176/SPG11/GABRA5/SLC18A2/LOC114002475/LRP8/HTR2A/SV2B/LOC113988378/HTR4/HTR1D/LOC114003869/LOC113990089/APBA2/KCNC4/LOC113999917/GLRA3/CPLX1/NPY/LOC113995009/GRIN2A/CACNB3/CARTPT/LOC113995133/GABRA6/SLC12A4/SLC6A1/LOC114003402/SST/TPGS1/HTR1E/GABRP/GABRG1/LOC114002719/GRM7/LOC113987767/BSN/GABRA2/GJC1/CHRNA3/OPRK1/HRH3/PNOC/LOC113989258/HTR5A/LOC113993166/CACNA1G/SYT1/HOMER1/LOC114000223/CACNA1B/LOC113985240/NLGN2/NPBWR1/NPY5R/LOC113993165/LOC113990721/LOC114003560/GLRA1/DLG1/LOC114001565/LPAR3/GLRB/PENK"
"GO:0070125","mitochondrial translational elongation",87,0.572591776665927,2.10300928537501,4.21387052148497e-07,9.87731250236077e-05,8.86687070784048e-05,3241,"tags=53%, list=22%, signal=41%","ERAL1/MRPS15/MRPS11/MRPS35/MRPL19/MRPS23/MRPL40/MRPS24/MRPL50/MRPL38/MRPL14/MRPL51/MRPL57/MRPL44/MRPL13/GFM1/MRPL12/MRPS16/MRPL10/MRPL20/MRPL45/MRPL47/MRPL9/MRPS21/MRPS22/MRPS7/MRPL1/MRPL46/MRPL21/MRPS18C/MRPL2/MRPL37/MRPS6/MRPL22/MRPS25/MRPS30/MRPS36/MRPL58/MRPL33/MRPL23/MRPL48/MRPS31/MRPL28/MRPS5/MRPL27/MRPS14"
